provider,power,fuel,N
108.0,12.0,5.0,0.0
108.0,12.0,6.0,8.358236680363412
108.0,13.0,1.0,0.0
108.0,13.0,2.0,0.0
108.0,13.0,3.0,0.0
108.0,13.0,4.0,0.0
108.0,13.0,5.0,0.0
108.0,13.0,6.0,9.67009759169149
108.0,14.0,1.0,0.0
108.0,14.0,2.0,0.0
108.0,14.0,3.0,0.0
108.0,14.0,4.0,0.0
108.0,14.0,5.0,0.0
108.0,14.0,6.0,0.0
109.0,1.0,1.0,0.0
109.0,1.0,2.0,0.0
109.0,1.0,3.0,0.0
109.0,1.0,4.0,0.0
109.0,1.0,5.0,0.0
109.0,1.0,6.0,0.0
109.0,2.0,1.0,0.0
109.0,2.0,2.0,0.0
109.0,2.0,3.0,0.0
109.0,2.0,4.0,0.0
109.0,2.0,5.0,0.0
109.0,2.0,6.0,31.62216468230097
109.0,3.0,1.0,0.0
109.0,3.0,2.0,0.0
109.0,3.0,3.0,0.0
109.0,3.0,4.0,0.0
109.0,3.0,5.0,0.0
109.0,3.0,6.0,31.625098895955094
109.0,4.0,1.0,0.0
109.0,4.0,2.0,0.0
109.0,4.0,3.0,0.0
109.0,4.0,4.0,0.0
109.0,4.0,5.0,0.0
109.0,4.0,6.0,31.62276541520364
109.0,5.0,1.0,0.0
109.0,5.0,2.0,0.0
109.0,5.0,3.0,0.0
109.0,5.0,4.0,0.0
109.0,5.0,5.0,0.0
109.0,5.0,6.0,0.0
109.0,6.0,1.0,0.0
109.0,6.0,2.0,0.0
109.0,6.0,3.0,0.0
109.0,6.0,4.0,0.0
109.0,6.0,5.0,0.0
109.0,6.0,6.0,21.228845235569032
109.0,7.0,1.0,0.0
109.0,7.0,2.0,0.0
109.0,7.0,3.0,0.0
109.0,7.0,4.0,0.0
109.0,7.0,5.0,0.0
109.0,7.0,6.0,31.62221040897388
109.0,8.0,1.0,0.0
109.0,8.0,2.0,0.0
109.0,8.0,3.0,0.0
109.0,8.0,4.0,0.0
109.0,8.0,5.0,0.0
109.0,8.0,6.0,13.929501767010091
109.0,9.0,1.0,0.0
109.0,9.0,2.0,0.0
109.0,9.0,3.0,0.0
109.0,9.0,4.0,0.0
109.0,9.0,5.0,0.0
109.0,9.0,6.0,0.0
109.0,10.0,1.0,0.0
